City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Homer,US,59.6425,-151.5483,35.76,74,20,18.01,few clouds
237,Tuatapere,NZ,-46.1333,167.6833,54.21,85,35,1.77,scattered clouds
238,Bama,NG,11.5221,13.6856,79.79,17,100,9.1,overcast clouds
239,Esperance,AU,-33.8667,121.9,66.04,92,65,10.98,broken clouds
240,Puerto Ayora,EC,-0.7393,-90.3518,85.96,96,61,3.0,broken clouds
241,Joshimath,IN,30.5667,79.5667,50.88,31,0,11.25,clear sky
242,Krasnyy Chikoy,RU,50.3643,108.7512,8.8,98,100,2.17,overcast clouds
243,Mendoza,AR,-32.8908,-68.8272,80.56,30,0,7.14,clear sky
244,Honningsvag,NO,70.9821,25.9704,35.35,87,0,10.36,clear sky
245,Atasu,KZ,48.6814,71.6433,25.52,95,100,11.86,overcast clouds
246,Bull Savanna,JM,17.8868,-77.5902,80.6,62,36,4.61,scattered clouds
247,Russell,US,32.3502,-85.1999,55.9,18,0,3.44,clear sky
248,Buta,CD,2.7858,24.73,71.13,87,100,0.54,overcast clouds
249,Sola,VU,-13.8833,167.55,82.27,72,100,7.54,overcast clouds
250,Abonnema,NG,4.7084,6.7931,81.75,77,12,8.19,few clouds
251,Sulangan,PH,11.1373,123.7228,81.1,82,85,7.78,overcast clouds
252,Nichinan,JP,31.6,131.3667,60.15,91,18,5.35,few clouds
253,Caramay,PH,10.1815,119.236,78.06,88,32,2.26,scattered clouds
254,Savannah Bight,HN,16.45,-85.85,80.2,71,14,9.4,few clouds
255,Mahebourg,MU,-20.4081,57.7,78.26,84,82,16.49,moderate rain
256,Chiredzi,ZW,-21.05,31.6667,74.5,61,1,3.65,clear sky
257,Andenes,NO,69.3143,16.1194,40.98,75,20,13.8,few clouds
258,Dryden,CA,49.7833,-92.7503,16.09,67,100,11.5,overcast clouds
259,Marang,MY,5.2056,103.2059,77.76,89,99,1.86,overcast clouds
260,Loubomo,CG,-4.1997,12.6739,74.43,93,99,3.67,overcast clouds
261,San Patricio,US,28.017,-97.5169,69.89,52,27,16.13,scattered clouds
262,Ancud,CL,-41.8697,-73.8203,67.23,60,53,5.86,broken clouds
263,Rasht,IR,37.2808,49.5832,46.45,90,100,1.68,overcast clouds
264,Karratha,AU,-20.7377,116.8463,85.53,65,2,9.31,light rain
265,Abdulino,RU,53.7,53.6667,2.32,99,100,4.43,overcast clouds
266,Temple,US,31.0982,-97.3428,63.79,24,0,21.85,clear sky
267,Coihaique,CL,-45.5752,-72.0662,59.61,55,40,9.22,scattered clouds
268,Muscat,OM,23.6139,58.5922,78.82,50,0,4.61,clear sky
269,Viedma,AR,-40.8135,-62.9967,82.38,25,23,18.9,few clouds
270,Middletown,US,39.5151,-84.3983,50.88,45,0,18.41,clear sky
271,Zaqatala,AZ,41.6336,46.6433,34.02,100,100,3.62,snow
272,Duiwelskloof,ZA,-23.6934,30.14,70.07,62,48,1.43,scattered clouds
273,Ola,RU,59.5833,151.2833,3.15,80,100,6.04,overcast clouds
274,Astoria,US,46.1879,-123.8313,49.95,94,100,13.8,mist
275,Abha,SA,18.2164,42.5053,61.05,72,0,4.61,clear sky
276,Tomatlan,MX,19.9333,-105.25,85.68,42,0,10.85,clear sky
277,Codrington,AU,-38.2667,141.9667,60.08,96,100,7.38,overcast clouds
278,Qaqortoq,GL,60.7167,-46.0333,28.27,60,100,17.07,light snow
279,Horsham,GB,51.064,-0.3272,48.02,85,0,2.3,clear sky
280,Itarema,BR,-2.9248,-39.9167,81.12,77,98,7.87,overcast clouds
281,San Policarpo,PH,12.1791,125.5072,79.77,85,100,7.54,overcast clouds
282,Denpasar,ID,-8.65,115.2167,78.46,100,40,2.3,scattered clouds
283,Kozova,UA,49.4354,25.1509,30.99,70,100,6.53,overcast clouds
284,Pevek,RU,69.7008,170.3133,-17.86,100,89,4.79,overcast clouds
285,Ulaanbaatar,MN,47.9077,106.8832,10.53,85,0,4.47,clear sky
286,Sawakin,SD,19.1059,37.3321,72.68,69,55,12.64,broken clouds
287,Aksu,CN,41.1231,80.2644,54.77,28,100,0.83,overcast clouds
288,Bambous Virieux,MU,-20.3428,57.7575,78.22,84,87,16.33,moderate rain
289,Lashio,MM,22.9333,97.75,67.32,52,52,1.68,broken clouds
290,Taoudenni,ML,22.6783,-3.9836,78.91,9,0,3.18,clear sky
291,Bairnsdale,AU,-37.8333,147.6167,58.05,95,10,3.91,clear sky
292,Adrar,MR,20.5022,-10.0711,74.98,9,0,8.7,clear sky
293,Tazmalt,DZ,36.3868,4.3989,55.74,88,100,2.46,overcast clouds
294,Isangel,VU,-19.55,169.2667,79.54,77,6,3.65,clear sky
295,Arlit,NE,18.7369,7.3853,73.94,8,0,14.45,clear sky
296,Cidreira,BR,-30.1811,-50.2056,68.25,91,100,13.6,overcast clouds
297,Novyye Burasy,RU,52.1324,46.0714,8.13,98,93,6.85,overcast clouds
298,Cap Malheureux,MU,-19.9842,57.6142,78.48,85,50,5.99,scattered clouds
299,Amapa,BR,1.0,-52.0,77.72,96,100,3.78,moderate rain
300,Challakere,IN,14.3167,76.65,76.46,37,3,4.68,clear sky
301,Price,US,39.5994,-110.8107,46.11,31,0,4.61,clear sky
302,Anadyr,RU,64.75,177.4833,-8.52,83,41,5.3,scattered clouds
303,Manga,BF,11.6636,-1.0731,92.32,16,100,6.29,overcast clouds
304,The Valley,AI,18.217,-63.0578,80.1,73,14,17.02,few clouds
305,Charcas,MX,23.1333,-101.1167,73.17,17,1,10.78,clear sky
306,Mont-De-Marsan,FR,44.0,-0.6667,49.78,73,0,13.0,clear sky
307,Omboue,GA,-1.5746,9.2618,79.93,83,100,6.35,overcast clouds
308,Lumby,CA,50.2498,-118.969,46.56,89,100,1.66,overcast clouds
309,Owando,CG,-0.4819,15.8999,72.75,77,93,2.75,overcast clouds
310,Hami,CN,42.8,93.45,52.61,32,85,10.51,overcast clouds
311,Puerto Escondido,MX,15.85,-97.0667,79.63,73,20,9.22,few clouds
312,Ouargaye,BF,11.5033,0.0572,94.28,18,100,5.26,overcast clouds
313,Kirkuk,IQ,35.4681,44.3922,47.75,52,100,3.04,overcast clouds
314,Roald,NO,62.5833,6.1333,46.54,46,75,4.61,broken clouds
315,Havelock,US,34.8791,-76.9013,48.16,43,0,5.99,clear sky
316,Aksarka,RU,66.5606,67.7975,-1.57,100,100,4.72,overcast clouds
317,Gloversville,US,43.0528,-74.3438,32.29,56,0,14.97,clear sky
318,Pulaski,US,34.7668,-92.3001,62.91,25,20,17.0,few clouds
319,Teya,RU,60.3778,92.6267,-22.76,100,84,1.03,broken clouds
320,Rapid Valley,US,44.0625,-103.1463,55.33,50,0,6.91,clear sky
321,Nanortalik,GL,60.1432,-45.2371,28.29,67,100,45.72,light snow
322,Sept-Iles,CA,50.2001,-66.3821,20.05,53,9,17.0,clear sky
323,Dakar,SN,14.6937,-17.4441,76.08,75,5,15.86,clear sky
324,Mogadishu,SO,2.0371,45.3438,78.96,80,60,18.45,broken clouds
325,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,64,75,12.66,broken clouds
326,Tarakan,ID,3.3,117.6333,77.94,85,100,5.39,overcast clouds
327,Havoysund,NO,70.9963,24.6622,35.83,82,28,14.47,scattered clouds
328,Pirgos,GR,35.1167,25.7178,45.63,56,19,10.18,few clouds
329,Kedrovyy,RU,56.1667,91.8167,-14.13,100,65,4.03,broken clouds
330,Saint George,US,37.1041,-113.5841,66.63,23,0,4.0,clear sky
331,Shediac,CA,46.2198,-64.5411,27.36,53,2,20.42,clear sky
332,Santa Maria,BR,-29.6842,-53.8069,63.01,88,100,7.2,overcast clouds
333,San Matias,BO,-16.3667,-58.4,83.37,70,90,3.47,overcast clouds
334,Broome,US,42.2506,-75.833,29.46,55,100,8.01,light snow
335,Ostrovnoy,RU,68.0531,39.5131,26.85,87,100,3.8,overcast clouds
336,Pemangkat,ID,1.1667,108.9667,77.58,76,100,2.91,overcast clouds
337,Ukwa,IN,21.9667,80.4667,66.94,22,0,2.55,clear sky
338,Tarko-Sale,RU,64.9225,77.785,-5.28,99,45,7.29,scattered clouds
339,Sterling,US,39.0062,-77.4286,43.34,43,20,16.11,few clouds
340,Ambilobe,MG,-13.2,49.05,74.05,95,100,1.23,overcast clouds
341,Muros,ES,42.7762,-9.0603,46.83,92,100,7.07,light rain
